MN_RE_0,-1,18_pf5_DC9,1,08_F2_MR-MGN-BE17,1,088_PF3_SR-MGN-BE107,0.206653541
MN_RE_1,-1,02_AlCl3_SR-MGM-BE9,1,17_alcl_SR-MGM-BE9,1,061_Cl2_SR-MGN-BE107,0.17452883
MN_RE_2,-1,045_CH3CO_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,054_CH3_2App2_SR-MGN-BE107,0.019250818
MN_RE_3,-1,045_CH3CO_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,0.149785777
MN_RE_4,-1,045_CH3CO_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,0.162231112
MN_RE_5,-1,045_CH3CO_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,0.1648434
MN_RE_6,-1,045_CH3CO_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,0.092489117
MN_RE_7,-1,045_CH3CO_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,031_CCH_SR-MGN-BE107,0.112128311
MN_RE_8,-1,046_CH3COCH3_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,041_CH3CH3_SR-MGN-BE107,0.007689668
MN_RE_9,-1,046_CH3COCH3_SR-MGN-BE107,1,045_CH3CO_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,0.118679164
MN_RE_10,-1,046_CH3COCH3_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,037_CH2OH_SR-MGN-BE107,0.163825217
MN_RE_11,-1,046_CH3COCH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,069_H2CCO_SR-MGN-BE107,0.033892997
MN_RE_12,-1,046_CH3COCH3_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,0.127400297
MN_RE_13,-1,046_CH3COCH3_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,0.053719821
MN_RE_14,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,0.147722678
MN_RE_15,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,0.182995586
MN_RE_16,-1,046_CH3COCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,0.160168014
