MN_RE_0,-1,18_pf5_DC9,1,08_F2_MR-MGN-BE17,1,088_PF3_SR-MGN-BE107,129.676956859369
MN_RE_1,-1,02_AlCl3_SR-MGM-BE9,1,17_alcl_SR-MGM-BE9,1,061_Cl2_SR-MGN-BE107,109.51841158447
MN_RE_2,-1,045_CH3CO_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,054_CH3_2App2_SR-MGN-BE107,12.080061552362
MN_RE_3,-1,045_CH3CO_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,93.99192313949301
MN_RE_4,-1,045_CH3CO_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,101.80148286000801
MN_RE_5,-1,045_CH3CO_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,103.4407170906
MN_RE_6,-1,045_CH3CO_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,58.037753319553
MN_RE_7,-1,045_CH3CO_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,031_CCH_SR-MGN-BE107,70.36152430729899
MN_RE_8,-1,046_CH3COCH3_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,041_CH3CH3_SR-MGN-BE107,4.825335877012
MN_RE_9,-1,046_CH3COCH3_SR-MGN-BE107,1,045_CH3CO_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,74.472243522476
MN_RE_10,-1,046_CH3COCH3_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,037_CH2OH_SR-MGN-BE107,102.801798094453
MN_RE_11,-1,046_CH3COCH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,069_H2CCO_SR-MGN-BE107,21.268160654473
MN_RE_12,-1,046_CH3COCH3_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,79.944832970173
MN_RE_13,-1,046_CH3COCH3_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,33.709671155889
MN_RE_14,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,92.697309949102
MN_RE_15,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,114.831377175274
MN_RE_16,-1,046_CH3COCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,100.506870297126
MN_RE_17,-1,046_CH3COCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,122.640936895789
MN_RE_18,-1,046_CH3COCH3_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,008_C2H5O_SR-MGN-BE107,164.04242763101402
MN_RE_19,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,012_C3H4_SR-MGN-BE107,33.978648496176
MN_RE_20,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,013_C3H4_allene_SR-MGN-BE107,35.315250196284005
MN_RE_21,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,014_C3H4_cyclopropene_SR-MGN-BE107,52.51473411107101
MN_RE_22,-1,046_CH3COCH3_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,1,052_CH3OH_SR-MGN-BE107,49.925614406819
MN_RE_23,-1,035_CH2CH_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,143.808237401183
MN_RE_24,-1,035_CH2CH_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,151.617797121698
MN_RE_25,-1,035_CH2CH_SR-MGN-BE107,1,031_CCH_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,59.92918969233501
MN_RE_26,-1,057_CH4_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,101.036436437388
MN_RE_27,-1,057_CH4_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,108.845996157903
MN_RE_28,-1,042_CH3CHCH2_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,89.872763300757
MN_RE_29,-1,042_CH3CHCH2_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,29.355189794572
MN_RE_30,-1,042_CH3CHCH2_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,145.161667637653
MN_RE_31,-1,042_CH3CHCH2_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,89.477711872262
MN_RE_32,-1,042_CH3CHCH2_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,97.28727159277702
MN_RE_33,-1,042_CH3CHCH2_SR-MGN-BE107,1,012_C3H4_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,38.946833659493
