MN_RE_0,-1,18_pf5_DC9,1,08_F2_MR-MGN-BE17,1,088_PF3_SR-MGN-BE107,542.568458588418
MN_RE_1,-1,02_AlCl3_SR-MGM-BE9,1,17_alcl_SR-MGM-BE9,1,061_Cl2_SR-MGN-BE107,458.22509410734
MN_RE_2,-1,045_CH3CO_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,054_CH3_2App2_SR-MGN-BE107,50.542984157363996
MN_RE_3,-1,045_CH3CO_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,393.262257941946
MN_RE_4,-1,045_CH3CO_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,425.93746009377605
MN_RE_5,-1,045_CH3CO_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,432.7960170132
MN_RE_6,-1,045_CH3CO_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,242.829991705266
MN_RE_7,-1,045_CH3CO_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,031_CCH_SR-MGN-BE107,294.392656273878
MN_RE_8,-1,046_CH3COCH3_SR-MGN-BE107,1,03_CO_MR-MGN-BE17,1,041_CH3CH3_SR-MGN-BE107,20.189207954664003
MN_RE_9,-1,046_CH3COCH3_SR-MGN-BE107,1,045_CH3CO_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,311.591907723672
MN_RE_10,-1,046_CH3COCH3_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,037_CH2OH_SR-MGN-BE107,430.122779583066
MN_RE_11,-1,046_CH3COCH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,069_H2CCO_SR-MGN-BE107,88.98599583750601
MN_RE_12,-1,046_CH3COCH3_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,334.489224972906
MN_RE_13,-1,046_CH3COCH3_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,141.041282595858
MN_RE_14,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,387.845595643644
MN_RE_15,-1,046_CH3COCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,480.45454505182795
MN_RE_16,-1,046_CH3COCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,420.520800420972
MN_RE_17,-1,046_CH3COCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,513.129747203658
MN_RE_18,-1,046_CH3COCH3_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,008_C2H5O_SR-MGN-BE107,686.353607136108
MN_RE_19,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,012_C3H4_SR-MGN-BE107,142.166683935072
MN_RE_20,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,013_C3H4_allene_SR-MGN-BE107,147.759026181048
MN_RE_21,-1,046_CH3COCH3_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,1,014_C3H4_cyclopropene_SR-MGN-BE107,219.72167630926202
MN_RE_22,-1,046_CH3COCH3_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,1,052_CH3OH_SR-MGN-BE107,208.888798047318
MN_RE_23,-1,035_CH2CH_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,601.693744122126
MN_RE_24,-1,035_CH2CH_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,634.368946273956
MN_RE_25,-1,035_CH2CH_SR-MGN-BE107,1,031_CCH_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,250.74376252587
MN_RE_26,-1,057_CH4_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,422.736505442136
MN_RE_27,-1,057_CH4_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,455.411707593966
MN_RE_28,-1,042_CH3CHCH2_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,376.02769091855396
MN_RE_29,-1,042_CH3CHCH2_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,122.82213019298399
MN_RE_30,-1,042_CH3CHCH2_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,607.356496973466
MN_RE_31,-1,042_CH3CHCH2_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,374.374795525164
MN_RE_32,-1,042_CH3CHCH2_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,407.04999767699405
MN_RE_33,-1,042_CH3CHCH2_SR-MGN-BE107,1,012_C3H4_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,162.953573381946
MN_RE_34,-1,042_CH3CHCH2_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,1,013_C3H4_allene_SR-MGN-BE107,168.54591825342
MN_RE_35,-1,042_CH3CHCH2_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,1,014_C3H4_cyclopropene_SR-MGN-BE107,240.508565756136
MN_RE_36,-1,041_CH3CH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,358.054852236048
MN_RE_37,-1,041_CH3CH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,390.73005438787806
MN_RE_38,-1,041_CH3CH3_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,139.986071320176
MN_RE_39,-1,007_C2H5_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,170.058220854408
MN_RE_40,-1,007_C2H5_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,349.015459534398
MN_RE_41,-1,007_C2H5_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,370.36494069271197
MN_RE_42,-1,007_C2H5_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,403.040142844542
MN_RE_43,-1,036_CH2CH2_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,673.4804885098381
MN_RE_44,-1,036_CH2CH2_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,603.346639515516
MN_RE_45,-1,036_CH2CH2_SR-MGN-BE107,1,005_C2H2_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,171.183840109956
MN_RE_46,-1,056_CH3_3_C_SR-MGN-BE107,1,035_CH2CH_SR-MGN-BE107,1,041_CH3CH3_SR-MGN-BE107,142.905178761516
MN_RE_47,-1,056_CH3_3_C_SR-MGN-BE107,1,042_CH3CHCH2_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,108.823171769334
MN_RE_48,-1,056_CH3_3_C_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,112.833026601786
MN_RE_49,-1,056_CH3_3_C_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,055_CH3_2_CH_SR-MGN-BE107,379.615328915634
MN_RE_50,-1,056_CH3_3_C_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,055_CH3_2_CH_SR-MGN-BE107,412.29053106746403
MN_RE_51,-1,056_CH3_3_C_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,016_C3H8_SR-MGN-BE107,380.88154096358403
MN_RE_52,-1,056_CH3_3_C_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,1,015_C3H6_cyclopropane_SR-MGN-BE107,134.147412728334
MN_RE_53,-1,037_CH2OH_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,393.613848881118
MN_RE_54,-1,037_CH2OH_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,426.289051032948
MN_RE_55,-1,037_CH2OH_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,326.505048797934
MN_RE_56,-1,037_CH2OH_SR-MGN-BE107,1,074_HCO_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,74.424666244248
MN_RE_57,-1,051_CH3OCH3_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,070_H2CO_SR-MGN-BE107,11.81812789242
MN_RE_58,-1,051_CH3OCH3_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,086_OH_SR-MGN-BE107,306.38646673947
MN_RE_59,-1,051_CH3OCH3_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,1,071_H2O_SR-MGN-BE107,6.295967833482
MN_RE_60,-1,051_CH3OCH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,1,052_CH3OH_SR-MGN-BE107,331.218306050562
MN_RE_61,-1,051_CH3OCH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,1,052_CH3OH_SR-MGN-BE107,363.893508202392
MN_RE_62,-1,051_CH3OCH3_SR-MGN-BE107,1,037_CH2OH_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,283.137558551064
MN_RE_63,-1,051_CH3OCH3_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,1,043_CH3CHO_SR-MGN-BE107,40.553660024334
MN_RE_64,-1,051_CH3OCH3_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,1,006_C2H4O_SR-MGN-BE107,133.16260680702
MN_RE_65,-1,016_C3H8_SR-MGN-BE107,1,057_CH4_SR-MGN-BE107,1,036_CH2CH2_SR-MGN-BE107,80.966947798098
MN_RE_66,-1,016_C3H8_SR-MGN-BE107,1,042_CH3CHCH2_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,129.328655089572
MN_RE_67,-1,016_C3H8_SR-MGN-BE107,1,041_CH3CH3_SR-MGN-BE107,1,039_CH2_3B1_SR-MGN-BE107,363.717381920058
MN_RE_68,-1,016_C3H8_SR-MGN-BE107,1,041_CH3CH3_SR-MGN-BE107,1,038_CH2_1A1_SR-MGN-BE107,396.392584071888
MN_RE_69,-1,016_C3H8_SR-MGN-BE107,1,007_C2H5_SR-MGN-BE107,1,054_CH3_2App2_SR-MGN-BE107,335.298125153718
MN_RE_70,-1,016_C3H8_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,1,015_C3H6_cyclopropane_SR-MGN-BE107,154.65289867407
MN_RE_71,-1,054_CH3_2App2_SR-MGN-BE107,1,060_CH_2pi_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,401.38702690932
MN_RE_72,-1,085_NH3_SR-MGN-BE107,1,082_NH_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,370.82224993435204
MN_RE_73,-1,101_SiH4_SR-MGN-BE107,1,098_SiH2_1A1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,222.430006145664
MN_RE_74,-1,101_SiH4_SR-MGN-BE107,1,099_SiH2_3B1_SR-MGN-BE107,1,068_H2_SR-MGN-BE107,295.377462195192
